ion,airwave,ritzwave,relint
Hg II,4425.220,4425.2225,3300
Hg II,4454.395,4454.390,200
Hg II,4455.486,4455.486,70
Hg II,4459.053,,150
Hg II,4463.878,4463.878,700
Hg III,4470.58,,15
Hg II,4491.552,,2000
Hg II,4492.831,4492.8310,2800
Hg III,4552.84,,12
Hg II,4657.320,4657.3159,60
Hg II,4660.219,4660.2156,30000
Hg I,4670.831,4670.831,
Hg I,4671.717,4671.717,
Hg I,4672.918,4672.92,
Hg I,4672.918,4672.920,
Hg I,4683.819,4683.821,
Hg I,4684.926,4684.926,
Hg I,4686.386,4686.386,
Hg I,4686.386,4686.39,
Hg II,4686.563,4686.561,60
Hg I,4699.797,4699.796,
Hg I,4701.171,4701.171,
Hg I,4703.011,4703.011,
Hg I,4703.051,4703.051,
Hg II,4704.625,4704.625,300
Hg I,4719.742,4719.744,
Hg I,4721.512,4721.512,
Hg I,4723.814,4723.814,
Hg I,4723.919,4723.917,
Hg II,4742.297,4742.296,300
Hg I,4745.148,4745.146,
Hg I,4747.458,4747.458,
Hg I,4750.393,4750.393,
Hg I,4750.560,4750.560,
Hg II,4762.266,4762.271,100
Hg I,4778.118,4778.117,
Hg I,4781.274,4781.273,
Hg I,4785.153,4785.155,
Hg I,4785.354,4785.354,
Hg III,4797.01,,50
Hg I,4822.204,4822.206,
Hg II,4825.566,4825.564,17000
Hg I,4826.594,4826.594,
Hg II,4827.732,4827.7260,30
Hg I,4831.878,4831.878,
Hg I,4832.238,4832.238,
Hg II,4855.584,4855.586,16000
Hg III,4869.85,,10
Hg II,4880.327,,4500
Hg I,4882.999,4883.001,6
Hg I,4889.489,4889.489,
Hg I,4896.914,4896.909,
Hg I,4897.482,4897.482,
Hg I,4916.068,4916.045,20
Hg II,4916.328,,100
Hg I,4960.1,4960.17,100
Hg II,4961.873,4961.888,18000
Hg I,4970.370,4970.374,6
Hg III,4973.57,,80
Hg II,4980.564,4980.567,9500
Hg I,4980.640,4980.639,6
Hg I,4991.601,4991.604,
Hg I,4992.593,4992.596,
Hg II,5017.279,,100
Hg I,5025.6,5025.6307,3
Hg II,5025.607,,100
Hg I,5045.8,5045.69,2
Hg II,5066.493,5066.497,1200
Hg II,5098.559,5098.560,60
Hg II,5100.946,5100.945,100
Hg I,5102.705,5102.704,30
Hg I,5120.637,5120.637,70
Hg II,5128.442,5128.4537,120000
Hg I,5137.940,5137.942,30
Hg I,5139.926,5139.928,
Hg II,5146.289,5146.294,15000
Hg II,5162.357,5162.367,25000
Hg II,5196.190,5196.1883,18000
Hg II,5204.768,5204.768,150000
Hg II,5205.868,5205.864,80
Hg III,5210.82,,30
Hg II,5216.382,5216.379,40000
Hg I,5218.9,5219.440,2
Hg II,5222.922,5222.922,500
Hg II,5242.173,5242.173,35
Hg II,5277.591,5277.593,18000
Hg II,5280.146,5280.148,600
Hg I,5290.740,5290.738,30
Hg II,5293.248,,200
Hg II,5294.177,5294.177,400
Hg II,5316.067,5316.069,75
Hg I,5316.776,5316.776,6
Hg I,5354.034,5354.036,130
Hg I,5365.5,5365.38,12
Hg II,5372.373,5372.374,40
Hg I,5384.626,5384.627,50
Hg I,5388.810,5388.810,
Hg I,5393.468,5393.465,
Hg I,5404.8,5404.83,3
Hg II,5425.253,5425.249,8000000
Hg I,5460.750,5460.7498,6000
Hg II,5465.286,,250
Hg I,5549.634,5549.636,50
Hg II,5595.268,5595.260,200000
Hg I,5675.81,5675.88,600
Hg II,5677.105,5677.102,20000000
Hg III,5695.71,,6
Hg II,5698.590,5698.593,1500
Hg I,5769.610,5769.6095,1000
Hg I,5789.69,5789.680,30
Hg I,5790.670,5790.6705,900
Hg I,5803.782,5803.783,400
Hg I,5818.3,5818.32,2
Hg II,5851.758,5851.766,1300
Hg I,5859.254,5859.254,130
Hg II,5870.899,,80
Hg II,5871.279,5871.2778,1200000
Hg II,5871.572,,50
Hg II,5871.921,,600
Hg I,5871.975,5871.975,30
Hg II,5888.939,5888.947,2000000
Hg I,5890.2,5890.17,12
Hg II,5918.496,5918.496,10
Hg II,5947.680,5947.682,150
Hg II,5961.509,5961.520,1500
Hg II,5978.916,,180
Hg II,6032.653,,60
Hg II,6041.045,6041.047,180
Hg I,6072.64,6072.66,30
Hg II,6089.794,6089.800,8000
Hg II,6100.096,,100
Hg II,6100.332,6100.342,5000
Hg I,6123.27,6123.25,3
Hg II,6141.773,,150
Hg II,6146.435,,1500000
Hg II,6146.845,,350
Hg II,6149.475,6149.4726,25000000
Hg II,6152.002,,120
Hg II,6157.138,,120
Hg II,6158.303,,1000
Hg II,6194.289,,70
Hg II,6196.409,6196.421,250
Hg III,6220.35,,25
Hg I,6234.36,6234.35,50
Hg II,6242.222,,65000
Hg II,6291.228,6291.230,65000
Hg II,6360.199,6360.199,150
Hg II,6394.890,6394.887,55000
Hg III,6418.98,,35
Hg II,6440.547,6440.547,30
Hg III,6501.38,,40
Hg II,6521.092,6521.094,150000
Hg III,6584.26,,10
Hg III,6610.12,,6
Hg II,6646.684,6646.6839,1300
Hg I,6701.6,6702.10,2
Hg II,6702.030,6702.032,170
Hg III,6709.29,,30
Hg I,6716.34,6716.36,600
Hg I,6721.1,,5
Hg I,6725.2,6724.78,1
Hg I,6741.0,6741.60,0
Hg I,6747.1,,2
Hg I,6750.9,6751.39,2
Hg I,6773.2,6772.57,1
Hg I,6784.6,6785.16,4
Hg I,6811.6,6811.28,2
Hg I,6827.0,6827.15,5
Hg I,6852.9,,0
Hg I,6861.0,6860.46,3
Hg I,6870.7,,4
Hg I,6880.4,6880.81,4
Hg I,6888.564,6888.563,
Hg I,6907.46,6907.46,1000
Hg I,6915.6,,5
Hg I,6924.3,6924.13,3
Hg I,6934.0,,1
Hg I,6944.1,,4
Hg II,6945.474,6945.474,120
Hg I,6950.7,6950.85,5
Hg I,6977.2,,
Hg I,7009.2,7009.08,4
Hg I,7022,7022.2,0
Hg I,7045.7,7045.54,8
Hg I,7081.901,7081.901,1000
Hg I,7091.860,7091.860,800
Hg I,7101.3,,2
Hg I,7120.0,,2
Hg I,7125.6,7125.2,6
Hg I,7125.6,7125.3,6
Hg I,7125.6,7126.14,6
Hg I,7135.0,7134.86,4
Hg I,7147.6,7148.04,2
Hg I,7154.2,,0
Hg I,7162.2,7162.3,5
Hg I,7169.0,,2
Hg I,7170.6,7170.53,0
Hg I,7176.0,7175.2,3
Hg I,7176.0,7175.5,3
Hg I,7176.0,7175.7,3
Hg I,7177.8,7177.77,10
Hg I,7190.9,7191.18,3
Hg I,7193.5,7193.54,4
Hg I,7209.1,7209.2,6
Hg I,7209.1,7209.59,6
Hg I,7222.4,,0
Hg I,7227.5,,0
Hg I,7239.4,,3
Hg I,7245.7,7246.01,3
Hg I,7269.1,7269.1,5
Hg I,7269.1,7269.51,5
Hg I,7270.7,7270.7,5
Hg I,7278.4,,
Hg I,7294.9,7294.90,7
Hg I,7301.7,,4
Hg I,7303.6,7303.68,
Hg I,7317.1,7317.08,4
Hg I,7333.0,7333.06,3
Hg I,7341,7342.60,1
