ion,airwave,ritzwave,relint
Cu I,3466.24,3466.194,25
Cu I,3471.748,3471.756,2
Cu I,3472.141,3472.139,200
Cu I,3474.578,3474.567,5
Cu I,3475.999,3475.996,750
Cu I,3481.614,3481.624,5
Cu I,3483.761,3483.758,1250
Cu I,3487.566,3487.559,60
Cu I,3488.858,3488.841,100
Cu I,3490.958,3490.965,1
Cu I,3494.50,3494.53,1
Cu I,3498.063,3498.062,125
Cu I,3498.938,3498.944,3
Cu I,3500.324,3500.308,50
Cu XIII,3500.4,3500,
Cu I,3501.251,3501.261,5
Cu I,3501.529,3501.528,3
Cu I,3505.058,3505.011,0
Cu I,3507.407,3507.423,5
Cu I,3511.835,3511.8518,50
Cu I,3511.985,3512.004,10
Cu I,3512.121,3512.121,650
Cu I,3517.039,3517.030,100
Cu I,3520.031,3520.020,500
Cu I,3524.231,3524.234,1250
Cu I,3527.482,3527.481,500
Cu I,3530.383,3530.378,2000
Cu I,3533.746,3533.735,500
Cu I,3544.963,3544.956,125
Cu I,3546.433,3546.442,15
Cu III,3548.87,,75
Cu I,,3552.619,
Cu I,3552.695,3552.711,0
Cu I,3566.131,3566.133,5
Cu I,3594.023,3594.018,30
Cu I,3598.011,3598.011,10
Cu I,3599.132,3599.131,1400
Cu I,3602.032,3602.028,1400
Cu I,3607.20,3607.158,0
Cu I,3609.295,3609.296,2000
Cu I,3610.809,3610.804,200
Cu I,3613.761,3613.753,600
Cu I,3614.218,3614.212,200
Cu I,3620.352,3620.344,200
Cu I,3621.245,3621.233,600
Cu I,3624.236,3624.232,100
Cu I,3627.32,3627.304,125
Cu I,3629.771,3629.785,10
Cu I,3632.308,3632.313,5
Cu I,3632.558,3632.559,50
Cu I,3635.916,3635.916,250
Cu III,3639.42,,100
Cu I,3641.693,3641.692,50
Cu I,3643.632,3643.652,5
Cu I,3645.232,3645.224,250
Cu I,3648.383,3648.385,125
Cu I,3650.855,3650.845,5
Cu I,3652.34,3652.333,100
Cu I,3654.243,3654.2408,200
Cu I,3655.859,3655.869,600
Cu I,3656.785,3656.769,125
Cu I,3659.353,3659.353,125
Cu I,3664.08,3664.113,5
Cu I,3665.735,3665.737,125
Cu I,3671.953,3671.971,100
Cu I,3676.878,3676.869,50
Cu I,3683.000,3683.061,1
Cu I,3684.672,3684.667,450
Cu I,3684.930,3684.931,200
