ion,airwave,ritzwave,relint
Ar VIII,3354.8,3354.6,
Ar III,3358.5305,3358.53046,417
Ar III,3361.28,3361.30589,7
Ar II,3361.7447,3361.74474,10
Ar II,3363.300,3363.29875,2
Ar II,3364.362,3364.36530,2
Ar II,3365.5204,3365.52028,13
Ar II,3365.58,3365.59797,1
Ar II,3366.5800,3366.57996,22
Ar III,,3368.74020,
Ar II,3370.9147,3370.91470,12
Ar II,3370.9850,3370.98437,4
Ar II,3373.140,3373.13287,1
Ar I,3373.47,,7
Ar II,3373.842,3373.84416,3
Ar II,3376.4357,3376.43578,155
Ar II,3378.442,3378.44466,1
Ar II,3379.458,3379.46015,4
Ar II,3379.5779,3379.57698,11
Ar II,3381.063,3381.06621,1
Ar II,3382.133,3382.13182,3
Ar II,3383.865,3383.86892,1
Ar II,3388.5306,3388.53072,195
Ar II,3391.343,3391.34481,0.5
Ar III,3391.8445,3391.84450,129
Ar I,3393.73,,7
Ar II,3397.002,3397.00197,1
Ar II,3397.608,3397.61093,1
Ar II,3397.8954,3397.89536,8
Ar I,,3406.180,
Ar II,3406.298,3406.29625,3
Ar II,3408.350,3408.35406,0.5
Ar II,3408.612,3408.61207,3
Ar II,3409.413,3409.4179,1
Ar II,3409.54,3409.54364,0
Ar II,3409.699,3409.70211,2
Ar III,3413.53,3413.527,6
Ar II,3414.4579,3414.45796,9
Ar II,3416.560,3416.560,1
Ar III,3417.49,3417.485,7
Ar II,3421.6108,3421.61032,22
Ar III,3424.25,3424.2283,9
Ar II,3425.500,3425.49849,2
Ar II,3429.6138,3429.61434,20
Ar III,3430.03,3429.969,2
Ar II,3430.4148,3430.41507,26
Ar II,3430.991,3430.99186,5
Ar II,3431.737,3431.73675,2
Ar II,3432.5838,3432.58318,5
Ar II,3433.369,3433.366,1
Ar II,3435.773,3435.77602,1
Ar III,3436.925,3436.8315,6
Ar III,3438.04,3438.0172,8
Ar II,3439.094,3439.090,1
Ar II,3447.290,3447.29080,1
Ar II,3448.281,3448.28150,1
Ar II,3454.0949,3454.09498,76
Ar II,3458.688,3458.68529,1
Ar I,3461.07,3461.078,7
Ar II,3464.1264,3464.12673,81
Ar II,3465.7830,3465.78302,14
Ar II,3466.3330,3466.33299,91
Ar II,,3466.36343,
Ar II,3470.2606,3470.26106,12
Ar III,3471.32,3471.2929,9
Ar II,3471.600,3471.59630,3
Ar III,3472.61,3472.56675,6
Ar II,3476.7471,3476.74711,427
Ar II,3478.2316,3478.23166,100
Ar III,3480.5020,3480.50191,1000
Ar II,3480.511,3480.50512,9
Ar II,3481.591,3481.590,1
Ar III,3484.12,3484.122,3
Ar II,3487.3155,3487.31541,6
Ar VIII,3487.6,3487.9,
Ar II,3488.188,3488.18953,1
Ar II,3490.8729,3490.87300,45
Ar II,3491.2437,3491.24373,389
Ar II,3491.5356,3491.53560,1000
Ar III,3494.270,3494.1579,2
Ar II,3495.775,3495.75822,1
Ar III,3497.10,3497.098,4
Ar III,3498.31,3498.248,6
Ar III,3498.31,3498.319,6
Ar II,3499.4759,3499.47590,8
Ar III,3499.6693,3499.66922,269
Ar II,3499.957,3499.96731,0.5
Ar III,3500.58,3500.57415,5
Ar III,3502.6828,3502.68291,93
Ar III,3503.5894,3503.58940,468
Ar III,3509.3333,3509.33330,245
Ar II,3509.7779,3509.77794,447
Ar III,3511.1485,3511.14850,1175
Ar III,3511.6671,3511.66713,89
Ar III,3514.2004,3514.20041,724
Ar II,3514.3874,3514.38733,490
Ar II,3517.8897,3517.88887,4
Ar II,3518.93,3518.922,1
Ar II,3519.9933,3519.99331,191
Ar II,3521.2600,3521.25990,100
Ar II,3521.555,3521.55960,1
Ar II,3521.9773,3521.97725,71
Ar II,3523.49,3523.49281,0.5
Ar II,3531.178,3531.18196,2
Ar II,3532.233,3532.23961,1
Ar II,3535.3194,3535.31929,170
Ar III,3539.219,3539.1979,3
Ar II,3543.1467,3543.14688,26
Ar II,3543.31,3543.31751,1
Ar II,3545.5952,3545.59516,891
Ar II,3545.8431,3545.84315,794
Ar II,3548.5141,3548.51395,195
Ar II,3550.0297,3550.02886,10
Ar I,3554.306,3554.305,7
Ar II,3556.9038,3556.90383,49
Ar II,3559.5079,3559.50780,1445
Ar II,3561.0303,3561.03016,1023
Ar II,3562.1914,3562.19111,35
Ar I,,3563.286,
Ar II,3564.3333,3564.33292,19
Ar II,3565.0296,3565.02938,162
Ar I,,3567.656,
Ar II,3569.01,3569.04725,1
Ar II,3569.940,3569.93722,3
Ar II,3569.940,3569.95863,3
Ar II,3570.746,3570.74366,1
Ar I,,3572.295,
Ar II,3575.7533,3575.75359,5
Ar II,3576.6153,3576.61538,12303
Ar II,3578.3556,3578.35563,8
Ar II,3581.6077,3581.60797,68
Ar II,3582.3544,3582.35434,155
Ar II,3588.4403,3588.44021,12303
Ar II,3593.717,3593.71669,2
Ar II,3594.37,3594.37559,0.5
Ar II,3600.2217,3600.22175,10
Ar II,3601.5089,3601.50884,15
Ar II,3603.456,3603.45573,3
Ar II,3603.905,3603.90419,3
Ar II,3605.8788,3605.87889,24
Ar I,3606.522,3606.522,7
Ar II,3607.401,3607.40366,2
Ar II,3611.365,3611.36648,1
Ar II,3611.8130,3611.81306,14
Ar II,3620.807,3620.80929,3
Ar II,3621.012,3621.01412,3
Ar II,3622.1376,3622.13719,30
Ar II,3623.444,3623.44968,2
Ar I,,3632.683,
Ar I,,3634.460,
Ar II,3634.8119,3634.81220,9
Ar II,3635.10,3635.09952,0
Ar II,3635.636,3635.63755,3
Ar II,3637.0303,3637.03094,19
Ar III,3637.8731,3637.8731,78
Ar II,3639.8324,3639.83244,42
Ar I,,3643.116,
Ar I,,3649.832,
Ar II,3650.8891,3650.88923,8
Ar II,3651.184,3651.19395,0.5
Ar II,3655.2775,3655.27776,37
Ar II,3656.0495,3656.04940,27
Ar II,3657.216,3657.21694,3
Ar I,,3659.529,
Ar II,3660.4362,3660.43646,28
Ar II,3661.13,3661.132,0.5
Ar II,3669.6020,3669.60196,26
Ar III,3670.275,3670.34,7
Ar I,,3670.670,
Ar II,3671.0045,3671.00424,19
Ar II,3673.2640,3673.26401,22
Ar II,3673.842,3673.84290,0
Ar I,,3675.235,
Ar II,3678.2690,3678.26948,17
Ar II,3680.0607,3680.06050,20
Ar IX,3682.0,3685,
Ar II,3682.5439,3682.54450,9
Ar III,3683.431,3683.4576,6
Ar III,3685.601,3685.5915,5
Ar III,3686.601,3686.5952,6
Ar III,3688.230,3688.2265,7
Ar III,3689.250,3689.2315,4
Ar II,3692.126,3692.12380,1
Ar II,3692.299,3692.28325,1
Ar II,3694.643,3694.64208,2
Ar III,3695.988,3696.0863,9
Ar II,3702.005,3702.00145,2
Ar II,3703.550,3703.550,1
Ar II,3706.9302,3706.92967,7
Ar II,3709.9085,3709.90842,11
Ar III,3712.764,3712.7934,10
Ar II,3713.019,3713.01505,2
Ar II,3714.7332,3714.73315,14
Ar III,3716.553,3716.557,8
Ar II,3717.1721,3717.17101,6
Ar II,3718.2061,3718.20606,93
Ar II,3720.4258,3720.42586,12
Ar III,3723.251,3723.2412,5
Ar II,3724.5156,3724.51602,14
Ar II,3729.3082,3729.30810,234
Ar II,3733.37,3733.35452,1
Ar II,3735.4880,3735.48761,4
Ar II,3737.8889,3737.88890,126
Ar II,3744.274,3744.27089,1
Ar II,3746.4469,3746.44703,275
Ar II,3746.9130,3746.91300,7
Ar II,3750.4801,3750.47947,13
Ar II,3751.047,3751.05220,2
Ar II,3751.330,3751.3259,1
Ar II,3752.856,3752.85328,0.5
Ar II,3753.5172,3753.51727,26
Ar II,3754.0493,3754.04927,11
Ar III,3756.382,3756.385,9
Ar II,3756.6701,3756.66900,4
Ar II,3763.111,3763.11028,2
Ar II,3763.5041,3763.50501,17
Ar II,3765.2697,3765.26969,186
Ar II,3766.1182,3766.11839,91
Ar I,3770.369,3770.369,20
Ar II,3770.5194,3770.51925,33
Ar II,3774.522,3774.51913,4
Ar II,3777.5310,3777.53110,5
Ar II,3780.8394,3780.83953,81
Ar II,3786.3819,3786.38198,20
Ar II,3793.226,3793.22798,1
Ar III,3795.3435,3795.34350,148
Ar II,3796.5931,3796.59302,13
Ar II,3799.3811,3799.38187,12
Ar III,3800.25,3800.2371,6
Ar II,3803.1720,3803.17205,69
Ar II,3808.5745,3808.57439,14
Ar II,3809.4558,3809.45576,91
Ar II,3811.212,3811.21124,2
Ar III,3815.70,3815.6795,1
Ar II,3817.380,3817.38108,1
Ar II,3819.0150,3819.01539,8
Ar II,3823.254,3823.25375,3
Ar II,3825.6723,3825.67243,19
Ar II,3826.8067,3826.80692,30
Ar II,3830.165,3830.16452,1
Ar II,3830.3951,3830.39372,6
Ar II,3830.5209,3830.52004,7
Ar VII,3833.7,3833.7,
Ar I,3834.679,3834.678,7
Ar II,3838.239,3838.239,1
Ar II,3841.5186,3841.51838,18
Ar II,3844.5622,3844.56216,6
Ar II,3844.7306,3844.73084,5
Ar II,3845.4049,3845.40506,32
Ar II,3850.5808,3850.58079,263
Ar II,3855.1603,3855.16032,6
Ar II,3856.1374,3856.13749,6
Ar III,3858.2923,3858.2925,8
Ar II,3861.348,3861.34778,3
Ar II,3868.5281,3868.52819,166
Ar II,3869.614,3869.61963,2
Ar II,3872.1361,3872.13701,11
Ar III,3874.22,3874.2113,4
Ar II,3875.2641,3875.26405,78
Ar II,3880.3323,3880.33288,15
Ar II,3883.14,3883.14212,0
Ar II,3891.4011,3891.40123,14
Ar II,3891.9787,3891.97869,50
Ar I,,3894.660,
Ar II,3895.2506,3895.24947,5
Ar II,3900.6251,3900.62636,8
Ar II,3906.95,3906.93849,0
Ar III,3907.84,3907.82,7
Ar II,3911.5759,3911.57587,6
Ar II,3914.7674,3914.76695,25
Ar II,3915.516,3915.5287,1
Ar II,3917.7669,3917.76691,5
Ar II,3922.359,3922.35796,2
Ar II,3922.528,3922.52967,1
Ar II,3923.556,3923.555,1
Ar II,3925.7186,3925.71849,129
Ar II,3926.0451,3926.04544,13
Ar II,3928.6227,3928.62282,191
Ar II,3931.2353,3931.23548,17
Ar II,3932.5463,3932.54638,91
Ar II,3933.17,3933.18691,2
Ar II,3935.275,3935.28178,1
Ar II,3938.843,3938.84385,1
Ar II,3944.2712,3944.27124,49
Ar II,3946.0969,3946.09692,204
Ar I,3947.505,3947.505,7
Ar I,3948.979,3948.979,35
Ar II,3952.7280,3952.72882,16
Ar II,3958.3790,3958.37988,7
Ar III,3960.4872,3960.4900,5
Ar II,3968.3589,3968.35887,59
Ar II,3974.4764,3974.47629,50
Ar II,3974.7582,3974.75854,15
Ar II,3979.3554,3979.35543,87
Ar II,3980.42,3980.4335,0
Ar II,3988.1573,3988.15725,12
Ar II,3992.0531,3992.05304,21
Ar II,3994.7916,3994.79193,58
Ar III,3995.590,3995.586,8
Ar II,3999.2518,3999.25192,4
Ar II,4001.1378,4001.13759,3
Ar II,4005.3620,4005.3627,10
Ar II,4007.632,4007.62828,2
Ar II,4011.2084,4011.20922,12
Ar II,4013.8561,4013.85610,145
Ar II,4019.8434,4019.8429,7
Ar III,4023.5864,4023.5853,4
Ar II,4031.3769,4031.37797,6
Ar II,4033.8090,4033.80915,95
Ar II,4034.783,4034.77769,1
Ar II,4035.4595,4035.45971,50
Ar II,4038.8039,4038.80380,18
Ar II,4042.190,4042.18100,3
Ar II,4042.8934,4042.89342,288
Ar I,4044.418,4044.418,50
Ar II,4045.6769,4045.67613,8
Ar I,,4045.965,
