ion,airwave,ritzwave,relint
Ne II,3187.5763,3187.57661,180
Ne II,3188.7410,3188.7409,200
Ne II,3190.8630,3190.8628,180
Ne II,3190.920,3190.9337,140
Ne II,3194.5754,3194.5754,200
Ne II,3198.5862,3198.5862,300
Ne II,3198.916,3198.9145,120
Ne I,3206.199,3206.2205,10
Ne I,3207.906,3207.9092,100
Ne I,3207.906,3207.9117,100
Ne II,,3208.282,
Ne II,3208.965,3208.9642,200
Ne II,3209.3554,3209.3555,240
Ne II,3211.989,3211.9979,22
Ne II,3213.7348,3213.7348,240
Ne II,3214.3262,3214.3264,300
Ne II,3214.751,3214.7566,160
Ne II,3214.928,3214.9262,160
Ne II,,3217.299,
Ne II,3218.1925,3218.1925,300
Ne II,,3222.007,
Ne II,3224.8174,3224.8174,240
Ne II,3229.457,3229.4558,180
Ne II,3229.5717,3229.5718,240
Ne II,3230.0698,3230.06993,400
Ne II,3230.4209,3230.4207,240
Ne II,3232.022,3232.0219,240
Ne II,,3232.290,
Ne II,3232.3731,3232.3731,300
Ne II,3243.3963,3243.3966,200
Ne II,3244.0942,3244.0943,200
Ne II,3248.1314,3248.1317,180
Ne II,3248.3449,3248.3447,200
Ne II,3248.3826,3248.3828,190
Ne II,3250.3571,3250.3570,200
Ne II,3255.4223,3255.4223,120
Ne II,3263.4128,3263.4127,140
Ne VIII,3266.1,3266.2,50
Ne II,3269.8705,3269.8703,180
Ne II,3270.800,3270.8006,180
Ne II,3275.1810,3275.1810,180
Ne III,3289.99,3289.974,120
Ne II,3297.7252,3297.72537,300
Ne VII,,3298,
Ne V,,3300.4,
Ne VII,3305.0,3305.4,140
Ne VII,3305.0,3307.1,140
Ne III,3307.44,3307.43,180
Ne II,3309.7398,3309.74002,300
Ne II,3310.499,3310.5051,60
Ne II,3311.2711,3311.27103,180
Ne II,3314.670,3314.6733,40
Ne VIII,3319.4,3322,60
Ne II,3319.722,3319.7242,600
Ne II,3320.1973,3320.1973,160
Ne II,3323.7350,3323.73514,2000
Ne II,3327.1534,3327.15326,300
Ne III,3328.698,3328.697,2000
Ne II,3329.1575,3329.1575,200
Ne II,3330.7335,3330.7337,120
Ne II,,3334.779,
Ne II,3334.8368,3334.83686,400
Ne II,3336.0922,3336.0923,180
Ne III,3341.22,3341.205,240
Ne III,3342.5,3342.18,0
Ne II,3344.3956,3344.3958,300
Ne II,3345.4544,3345.45426,600
Ne V,,3345.821,
Ne V,3345.83,3345.821,
Ne II,3345.8304,3345.83056,300
Ne II,,3345.880,
Ne VII,3347.0,3347.0,16
Ne I,3351.7495,3351.7486,250
Ne II,3353.5675,3353.5674,140
Ne II,3355.0176,3355.01769,400
Ne II,3356.3078,3356.3075,180
Ne II,3357.8190,3357.8192,240
Ne II,3360.271,3360.2711,180
Ne II,3360.597,3360.5981,400
Ne II,3362.1623,3362.1624,240
Ne II,3362.7067,3362.70661,200
Ne II,3362.9378,3362.9378,180
Ne III,3366.10,3366.082,120
Ne II,3366.985,3366.9839,60
Ne II,3367.2164,3367.2164,240
Ne I,3369.8076,3369.8076,5000
Ne I,3369.9069,3369.9072,7000
Ne II,3371.799,3371.7970,200
Ne II,3374.0607,3374.0607,160
Ne I,3375.6489,3375.6484,500
Ne II,3377.1543,3377.1542,240
Ne II,3378.2193,3378.21915,1000
Ne II,3379.3209,3379.3207,160
Ne II,3386.2017,3386.2018,120
Ne II,3388.4169,3388.4170,300
Ne II,3388.9431,3388.9431,240
Ne II,3390.5521,3390.5524,140
Ne II,3392.607,3392.6039,160
Ne II,3392.8006,3392.80064,600
Ne II,3393.183,3393.1822,120
Ne II,,3397.498,
Ne II,3397.866,3397.86687,100
Ne II,3404.18,3404.18,8
Ne II,3404.8208,3404.8209,200
Ne II,3406.9451,3406.9454,240
Ne VI,3409.7,3409.7,90
Ne II,3411.3604,3411.3603,160
Ne II,3413.1453,3413.1453,200
Ne II,3414.8886,3414.8878,140
Ne II,3416.9126,3416.9126,240
Ne II,3417.6870,3417.6870,240
Ne I,3417.9031,3417.9031,5000
Ne I,3418.0052,3418.0056,500
Ne I,3423.9120,3423.9120,500
Ne VI,3424.7,3424.4,100
Ne V,3425.87,3425.881,
Ne V,,3425.881,
Ne VI,3427.6,3427.7,170
Ne II,3428.6850,3428.68472,240
Ne VIII,3433.7,3433.3,500
Ne VII,3437.8,3437.9,430
Ne II,3438.935,3438.9337,180
Ne II,3440.7474,3440.7477,140
Ne II,3441.9762,3441.9773,100
Ne II,3443.7065,3443.7061,160
Ne I,3447.7022,3447.7024,2000
Ne VII,,3450,
Ne I,3450.7641,3450.7645,500
Ne II,3453.0685,3453.0681,160
Ne I,3454.1942,3454.1944,1000
Ne II,3454.7720,3454.7721,180
Ne II,3456.6081,3456.6080,200
Ne II,3457.0079,3457.0052,140
Ne II,3457.084,3457.0836,140
Ne II,3459.3197,3459.3197,200
Ne I,3460.5235,3460.5237,1000
Ne II,3463.21,3463.2301,
Ne I,3464.3385,3464.3382,1000
Ne I,3466.5781,3466.5781,2000
Ne I,3472.5706,3472.5706,5000
Ne II,3475.240,3475.2399,60
Ne II,3477.6466,3477.6466,160
Ne VII,,3479,
Ne II,3479.5186,3479.5185,300
Ne VII,,3480,
Ne II,3480.7181,3480.7180,400
Ne II,3481.9337,3481.9336,400
Ne VIII,3483.0,3483.5,100
Ne VII,,3485,
Ne VIII,3488.0,3486.5,300
Ne VIII,3488.0,3487.1,300
Ne VIII,3488.0,3487.5,300
Ne VIII,3488.0,3487.7,300
Ne VIII,3488.0,3487.7,300
Ne VIII,3488.0,3487.8,300
Ne VIII,3488.0,3487.9,300
Ne I,3498.0632,3498.0637,1000
Ne II,3500.879,3500.8840,40
Ne I,3501.2154,3501.2159,2000
Ne II,3503.5820,3503.5819,180
Ne II,3507.3702,3507.3650,180
Ne II,3509.68,3509.68,6
Ne I,3510.7207,3510.7207,500
Ne II,3511.580,3511.5802,180
Ne VII,,3514,
Ne I,3515.1900,3515.1902,2000
Ne I,3520.4714,3520.4711,10000
Ne II,3522.722,3522.7250,40
Ne II,3525.51,3525.4712,24
Ne II,3535.10,3535.088,4
Ne II,3537.002,3537.0017,120
Ne II,3537.9757,3537.9759,140
Ne II,3538.26,3538.2796,
Ne II,3539.895,3539.8960,60
Ne II,3542.2406,3542.2405,160
Ne II,3542.8452,3542.8454,240
Ne II,3543.7907,3543.7899,140
Ne VIII,3544.0,3543.2,20
Ne VII,3544.0,3544.1,19
Ne II,,3544.145,
Ne II,3544.815,3544.8119,40
Ne II,3546.211,3546.2109,100
Ne II,3551.557,3551.5585,40
Ne II,,3554.356,
Ne VII,,3555,
Ne II,3557.313,3557.3109,100
Ne II,3557.805,3557.8048,240
Ne II,3558.218,3558.2153,12
Ne II,3559.840,3559.8391,60
Ne II,3561.1990,3561.1990,200
Ne I,3562.9551,3562.9536,150
Ne VI,,3565,
Ne II,3565.826,3565.8240,180
Ne II,3567.608,3567.5985,12
Ne II,3568.5022,3568.5021,500
Ne II,3571.2311,3571.2309,200
Ne II,3572.021,3572.0278,100
Ne II,3572.376,3572.3759,80
Ne II,3574.1826,3574.1826,200
Ne II,,3574.233,
Ne II,3574.6122,3574.6121,400
Ne II,3577.9772,3577.9778,140
Ne VI,,3579,
Ne II,3582.151,3582.1488,60
Ne VII,,3583,
Ne II,3584.934,3584.9298,80
Ne II,3585.244,3585.2395,40
Ne II,3589.494,3589.4895,100
Ne II,3590.449,3590.4496,80
Ne II,3591.796,3591.7970,22
Ne I,3593.5263,3593.5257,5000
Ne I,3593.6385,3593.6389,3000
Ne II,3594.1582,3594.1584,160
Ne I,3600.1694,3600.1685,1000
Ne II,3601.060,3601.0595,120
Ne II,3602.775,3602.7722,80
Ne II,3603.234,3603.2336,100
Ne II,3607.508,3607.5058,120
Ne II,3608.605,3608.6061,60
Ne I,3609.1787,3609.1786,500
Ne II,3611.596,3611.6020,100
Ne II,3612.327,3612.3275,140
Ne II,3612.608,3612.6058,12
Ne II,3616.345,3616.3491,22
Ne II,3618.763,3618.7630,80
Ne VII,,3626,
Ne II,3626.5363,3626.5372,140
Ne II,3628.0329,3628.0333,180
Ne II,3630.929,3630.9318,80
Ne II,3632.6804,3632.6808,140
Ne I,3633.6643,3633.6640,1000
Ne II,3634.569,3634.5687,140
Ne II,3639.54,3639.54,13
Ne VII,3643.60,3643.61,25
Ne II,3643.9291,3643.9290,300
Ne II,3644.8566,3644.8564,180
Ne II,3647.859,3647.8645,100
Ne II,3651.262,3651.2679,80
Ne III,3652.40,3652.419,90
Ne II,3652.814,3652.8135,80
Ne II,3656.650,3656.6523,80
Ne III,3659.39,3659.377,100
Ne II,3659.8921,3659.8925,120
Ne II,3661.812,3661.8089,100
Ne II,3664.0740,3664.0740,400
Ne III,3665.53,3665.506,160
Ne II,3667.7969,3667.7971,140
Ne III,3672.03,3672.048,160
Ne III,3675.75,3675.756,70
Ne II,3676.223,3676.2245,140
Ne II,3676.805,3676.8040,100
Ne II,3676.93,3676.941,15
Ne II,3677.091,3677.0921,100
